file_name,text
000008.jpg,dior poison eau de toilette spray for women
000007.jpg,christian dior savage eap for men
000009.jpg,black dior black dior eau de toilette 100ml
000003.jpg,a bottle of perfume with a black cap on it
000010.jpg,christian dior jadore black eap spray for women
000004.jpg,dior eau de parfum spray
000005.jpg,dior homme intense edt 100ml
000001.jpg,christian dior savage eau de toilette spray
000006.jpg,black forest black forest black forest black forest black forest black forest black forest black forest black forest black forest
000002.jpg,"christian dior's new fragrance, savage, is a dark, smoky scent"
